,street_name,full_address,sale_date,sale_price,price_num,sq_feet,price_sf,url,lat,long
12102,99 CATESBY RD,"99 CATESBY RD Cobb County, GA",2018-10-11,"$675,834.00",675834,3997,169.0853139854891,"https://www.google.com/maps/search/99%20CATESBY%20RD%20Cobb%20County,%20GA",33.9527036,-84.7138819
12103,3051 BIGGERN AVE,"3051 BIGGERN AVE Cobb County, GA",2018-10-11,"$214,500.00",214500,1100,195.0,"https://www.google.com/maps/search/3051%20BIGGERN%20AVE%20Cobb%20County,%20GA",33.8794231,-84.5460324
12104,5029 DUXFORD DR,"5029 DUXFORD DR Cobb County, GA",2018-10-11,"$418,000.00",418000,3545,117.91255289139632,"https://www.google.com/maps/search/5029%20DUXFORD%20DR%20Cobb%20County,%20GA",33.8301863,-84.5056294
12105,2673 FOREST GLEN DR,"2673 FOREST GLEN DR Cobb County, GA",2018-10-11,"$267,000.00",267000,2831,94.31296361709644,"https://www.google.com/maps/search/2673%20FOREST%20GLEN%20DR%20Cobb%20County,%20GA",34.064999,-84.47887
12106,639 CONCORD RD,"639 CONCORD RD Cobb County, GA",2018-10-11,"$229,000.00",229000,1910,119.89528795811518,"https://www.google.com/maps/search/639%20CONCORD%20RD%20Cobb%20County,%20GA",error,error
12107,1648 HAMMOND WOODS CIR,"1648 HAMMOND WOODS CIR Cobb County, GA",2018-10-11,"$160,000.00",160000,1443,110.88011088011088,"https://www.google.com/maps/search/1648%20HAMMOND%20WOODS%20CIR%20Cobb%20County,%20GA",33.9128933,-84.5893983
12108,2792 FARMSTEAD RD,"2792 FARMSTEAD RD Cobb County, GA",2018-10-11,"$162,000.00",162000,1040,155.76923076923077,"https://www.google.com/maps/search/2792%20FARMSTEAD%20RD%20Cobb%20County,%20GA",33.8848199,-84.4853995
12109,2867 SPRING VILLA LN,"2867 SPRING VILLA LN Cobb County, GA",2018-10-11,"$123,000.00",123000,1452,84.7107438016529,"https://www.google.com/maps/search/2867%20SPRING%20VILLA%20LN%20Cobb%20County,%20GA",33.88292,-84.5056098
12110,3268 LANCER DR,"3268 LANCER DR Cobb County, GA",2018-10-11,"$130,250.00",130250,1566,83.17369093231162,"https://www.google.com/maps/search/3268%20LANCER%20DR%20Cobb%20County,%20GA",33.8710759,-84.6633393
12111,991 WOODWARD CIR SW,"991 WOODWARD CIR SW Cobb County, GA",2018-10-11,"$105,000.00",105000,1338,78.47533632286995,"https://www.google.com/maps/search/991%20WOODWARD%20CIR%20SW%20Cobb%20County,%20GA",33.8351748,-84.5827061
12112,1249 KASANDRA DR,"1249 KASANDRA DR Cobb County, GA",2018-10-11,"$119,900.00",119900,892,134.4170403587444,"https://www.google.com/maps/search/1249%20KASANDRA%20DR%20Cobb%20County,%20GA",33.9466261,-84.5155866
12113,523 PRENTISS PT,"523 PRENTISS PT Cobb County, GA",2018-10-11,"$450,000.00",450000,2704,166.42011834319527,"https://www.google.com/maps/search/523%20PRENTISS%20PT%20Cobb%20County,%20GA",33.9414642,-84.4655793
12114,1886 ADDINGTON PL,"1886 ADDINGTON PL Cobb County, GA",2018-10-11,"$438,900.00",438900,3430,127.95918367346938,"https://www.google.com/maps/search/1886%20ADDINGTON%20PL%20Cobb%20County,%20GA",34.0016325,-84.7273729
12115,3786 THACKARY DR,"3786 THACKARY DR Cobb County, GA",2018-10-11,"$401,548.00",401548,2923,137.3752993499829,"https://www.google.com/maps/search/3786%20THACKARY%20DR%20Cobb%20County,%20GA",33.8971126,-84.6633802
12116,452 RIGBY ST,"452 RIGBY ST Cobb County, GA",2018-10-11,"$224,500.00",224500,1144,196.24125874125875,"https://www.google.com/maps/search/452%20RIGBY%20ST%20Cobb%20County,%20GA",33.9561745,-84.5389078
12117,984 VALLEY DR SE,"984 VALLEY DR SE Cobb County, GA",2018-10-11,"$357,000.00",357000,1500,238.0,"https://www.google.com/maps/search/984%20VALLEY%20DR%20SE%20Cobb%20County,%20GA",33.8731491,-84.5250656
12118,5269 SPRINGTIDE LN,"5269 SPRINGTIDE LN Cobb County, GA",2018-10-11,"$154,400.00",154400,1808,85.39823008849558,"https://www.google.com/maps/search/5269%20SPRINGTIDE%20LN%20Cobb%20County,%20GA",33.8862057,-84.7108813
12119,2332 LEACROFT WAY,"2332 LEACROFT WAY Cobb County, GA",2018-10-11,"$265,000.00",265000,1644,161.19221411192214,"https://www.google.com/maps/search/2332%20LEACROFT%20WAY%20Cobb%20County,%20GA",34.012761,-84.4897079
12120,4505 HIGH GROVE CT,"4505 HIGH GROVE CT Cobb County, GA",2018-10-11,"$225,000.00",225000,2077,108.3293211362542,"https://www.google.com/maps/search/4505%20HIGH%20GROVE%20CT%20Cobb%20County,%20GA",34.063343,-84.5992753
12121,2398 JUNE SPRINGS DR,"2398 JUNE SPRINGS DR Cobb County, GA",2018-10-11,"$186,000.00",186000,1627,114.32083589428396,"https://www.google.com/maps/search/2398%20JUNE%20SPRINGS%20DR%20Cobb%20County,%20GA",33.8946379,-84.6029772
